"","Country","Latest_Mortality_Rate","safety_level"
"1","Peru","0.028","Safe"
"2","Georgia","0.029","Safe"
"3","Uzbekistan","0.051","Safe"
"4","Trinidad and Tobago","0.168","Safe"
"5","Hong Kong SAR","0.192","Safe"
"6","Kyrgyzstan","0.194","Safe"
"7","Chile","0.249","Safe"
"8","Egypt","0.326","Safe"
"9","Iceland","0.382","Safe"
"10","Guatemala","0.402","Safe"
"11","French Guiana","3.906","Dangerous"
"12","Bahamas","3.988","Dangerous"
"13","Greece","4.425","Dangerous"
"14","Brazil","4.637","Dangerous"
"15","Colombia","4.8","Dangerous"
"16","Paraguay","4.823","Dangerous"
"17","Malaysia","4.901","Dangerous"
"18","Reunion","5.923","Dangerous"
"19","Uruguay","6.166","Dangerous"
"20","Venezuela","7.864","Dangerous"
